"canceled_service","senior_citizen","spouse_partner","dependents","cellular_service","avg_call_mins","avg_intl_mins","internet_service","online_security","online_backup","device_protection","tech_support","streaming_tv","streaming_movies","contract","paperless_bill","payment_method","months_with_company","monthly_charges"
"no","no","no","no","multiple_lines",358,143,"fiber_optic","no","no","no","yes","no","no","month_to_month","yes","bank_draft",6,87.95
"no","no","no","no","single_line",186,72,"fiber_optic","no","no","no","no","no","no","month_to_month","yes","mailed_check",1,70.7
"no","no","no","no","single_line",343,65,"digital","yes","yes","no","yes","no","yes","month_to_month","no","bank_draft",13,67.8
"yes","no","no","no","single_line",367,108,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","electronic_check",5,69.7
"yes","no","no","yes","single_line",371,85,"fiber_optic","no","no","no","no","no","no","month_to_month","no","electronic_check",1,78.65
"no","no","no","no","multiple_lines",283,124,"fiber_optic","no","no","no","no","no","no","month_to_month","no","mailed_check",18,74.15
"no","no","yes","yes","single_line",251,115,"digital","no","no","yes","no","no","no","one_year","yes","bank_draft",52,50.95
"yes","no","no","no","single_line",430,46,"fiber_optic","no","yes","no","no","yes","no","month_to_month","yes","electronic_check",6,84.85
"no","no","no","no","single_line",164,63,"fiber_optic","no","no","yes","no","no","yes","month_to_month","yes","credit_card",4,82.85
"no","no","no","no","single_line",406,95,"fiber_optic","yes","no","yes","yes","no","no","month_to_month","yes","bank_draft",60,104.95
"no","no","yes","yes","single_line",347,55,"fiber_optic","yes","yes","yes","no","yes","yes","one_year","yes","bank_draft",66,103.15
"yes","yes","yes","no","multiple_lines",499,120,"fiber_optic","no","no","no","no","yes","no","month_to_month","yes","electronic_check",20,94.55
"yes","no","no","no","multiple_lines",375,109,"fiber_optic","no","no","no","no","no","no","month_to_month","no","bank_draft",8,84.5
"yes","no","no","no","single_line",332,103,"digital","yes","yes","no","no","no","no","month_to_month","yes","electronic_check",1,54.9
"no","no","yes","no","single_line",256,124,"fiber_optic","no","no","no","no","no","yes","month_to_month","yes","electronic_check",2,70.35
"yes","no","no","no","single_line",463,125,"fiber_optic","no","yes","yes","no","no","no","month_to_month","no","electronic_check",66,99.5
"no","no","yes","yes","single_line",243,88,"digital","yes","no","no","no","no","yes","one_year","yes","bank_draft",19,48.95
"yes","no","yes","yes","single_line",483,53,"fiber_optic","no","no","no","no","no","no","month_to_month","yes","electronic_check",3,80.3
"yes","no","no","no","single_line",195,57,"digital","no","no","no","no","yes","yes","month_to_month","yes","mailed_check",8,45.15
"yes","no","yes","yes","single_line",452,54,"fiber_optic","yes","no","yes","no","yes","no","month_to_month","yes","electronic_check",17,89.4
"no","no","yes","no","single_line",275,56,"digital","yes","no","no","no","no","no","month_to_month","yes","mailed_check",2,62.15
"yes","no","no","no","multiple_lines",431,122,"fiber_optic","no","no","yes","no","yes","yes","month_to_month","yes","credit_card",18,90.7
"yes","no","no","no","multiple_lines",308,109,"fiber_optic","no","no","no","no","yes","yes","month_to_month","no","bank_draft",8,95.65
"yes","no","no","no","single_line",456,35,"fiber_optic","no","no","no","no","yes","yes","month_to_month","no","bank_draft",2,70
"no","yes","no","no","multiple_lines",373,96,"digital","no","no","yes","yes","yes","no","two_year","yes","credit_card",30,69.1
"no","no","no","no","multiple_lines",363,134,"digital","yes","no","yes","yes","yes","no","two_year","no","bank_draft",54,87.1
"no","no","no","no","single_line",281,91,"digital","no","no","no","no","yes","yes","month_to_month","yes","credit_card",8,54.75
"yes","no","no","no","single_line",264,47,"fiber_optic","no","yes","yes","yes","yes","yes","one_year","yes","electronic_check",4,105.65
"no","no","yes","yes","multiple_lines",342,122,"digital","no","no","yes","yes","yes","no","one_year","yes","electronic_check",33,79.15
"no","no","no","no","multiple_lines",342,161,"digital","yes","no","no","no","no","yes","one_year","no","mailed_check",36,54.45
"yes","no","no","no","single_line",280,65,"fiber_optic","no","no","no","no","yes","yes","one_year","yes","bank_draft",38,70.45
"yes","no","yes","yes","single_line",427,105,"fiber_optic","no","no","no","no","no","yes","month_to_month","yes","bank_draft",7,69.95
"yes","no","no","yes","single_line",289,130,"fiber_optic","no","no","no","no","no","yes","month_to_month","no","bank_draft",1,69.75
"no","no","no","no","single_line",223,124,"fiber_optic","no","no","no","no","yes","no","month_to_month","no","electronic_check",2,70.35
"no","no","yes","no","multiple_lines",304,142,"digital","yes","no","yes","yes","no","no","two_year","no","bank_draft",65,76.15
"no","no","no","no","single_line",394,61,"digital","yes","yes","no","yes","no","yes","one_year","yes","electronic_check",28,59.9
"no","yes","no","no","single_line",398,129,"fiber_optic","no","no","no","no","no","yes","month_to_month","yes","electronic_check",1,70.05
"no","no","yes","no","single_line",255,79,"digital","yes","yes","yes","no","no","no","month_to_month","no","mailed_check",35,61
"no","no","yes","yes","multiple_lines",332,126,"digital","yes","no","yes","no","no","no","one_year","yes","bank_draft",56,68.75
"no","no","no","no","single_line",287,129,"digital","no","no","no","no","no","no","month_to_month","yes","electronic_check",4,55.9
"yes","no","no","no","multiple_lines",517,84,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","mailed_check",1,85.45
"no","yes","yes","no","multiple_lines",425,56,"fiber_optic","no","yes","yes","no","yes","no","month_to_month","yes","electronic_check",32,93.5
"yes","no","no","no","single_line",336,135,"fiber_optic","yes","no","no","no","no","yes","month_to_month","yes","credit_card",9,74.25
"yes","no","no","no","multiple_lines",345,102,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","electronic_check",23,74.95
"no","no","no","no","multiple_lines",403,113,"digital","yes","yes","no","yes","no","yes","two_year","no","credit_card",72,86.05
"no","no","yes","no","multiple_lines",228,118,"fiber_optic","no","yes","no","yes","no","no","two_year","yes","electronic_check",64,105.25
"no","no","no","no","single_line",235,94,"digital","yes","no","yes","no","no","yes","month_to_month","no","credit_card",5,55.8
"no","no","no","no","single_line",274,41,"digital","yes","no","no","yes","no","yes","month_to_month","no","mailed_check",9,64.95
"yes","yes","yes","no","single_line",389,67,"fiber_optic","no","no","yes","no","no","no","month_to_month","yes","electronic_check",24,93.15
"no","no","yes","yes","single_line",337,173,"digital","no","no","no","no","no","no","month_to_month","no","electronic_check",6,54.85
"no","no","no","no","single_line",268,90,"digital","no","yes","no","no","no","no","month_to_month","no","bank_draft",5,50.55
"yes","no","no","no","multiple_lines",415,44,"fiber_optic","no","no","no","no","yes","no","month_to_month","yes","electronic_check",12,84.45
"yes","no","yes","yes","multiple_lines",394,118,"fiber_optic","no","no","yes","yes","yes","yes","month_to_month","no","electronic_check",19,103.3
"no","yes","no","no","multiple_lines",405,99,"fiber_optic","no","yes","no","no","yes","no","month_to_month","yes","credit_card",71,99.65
"no","no","yes","no","multiple_lines",325,129,"fiber_optic","yes","no","yes","no","yes","yes","one_year","no","bank_draft",40,105.75
"no","no","no","no","single_line",218,98,"digital","no","no","yes","no","yes","yes","month_to_month","no","mailed_check",21,61.65
"no","no","yes","yes","multiple_lines",327,125,"fiber_optic","yes","no","no","yes","yes","no","month_to_month","yes","bank_draft",64,86.8
"yes","no","yes","yes","multiple_lines",468,101,"fiber_optic","no","no","yes","no","no","no","month_to_month","yes","electronic_check",29,89.2
"yes","yes","no","no","multiple_lines",392,99,"fiber_optic","no","no","yes","no","yes","no","month_to_month","yes","electronic_check",2,78.55
"no","no","yes","no","single_line",342,122,"digital","no","yes","no","no","yes","no","month_to_month","yes","bank_draft",47,58.6
"no","no","yes","no","single_line",200,93,"digital","yes","no","no","yes","yes","yes","month_to_month","no","bank_draft",12,54.2
"no","no","no","no","multiple_lines",321,84,"fiber_optic","no","no","no","no","no","no","month_to_month","yes","credit_card",9,75.2
"no","no","yes","yes","single_line",279,138,"digital","no","yes","yes","no","yes","yes","month_to_month","yes","mailed_check",10,55.55
"no","no","no","no","single_line",315,115,"fiber_optic","yes","yes","no","no","no","no","one_year","yes","mailed_check",55,100.9
"yes","yes","yes","no","multiple_lines",467,115,"fiber_optic","no","yes","yes","no","no","no","month_to_month","yes","electronic_check",55,85.45
"no","no","yes","no","single_line",290,108,"fiber_optic","yes","no","yes","no","no","yes","two_year","yes","bank_draft",64,99
"no","no","no","no","single_line",298,102,"digital","no","yes","yes","yes","yes","no","two_year","no","mailed_check",57,69.75
"no","no","no","no","single_line",313,107,"fiber_optic","no","no","yes","no","no","no","one_year","no","electronic_check",12,95.7
"no","no","no","no","multiple_lines",303,137,"fiber_optic","no","no","no","no","yes","no","month_to_month","no","electronic_check",35,83.15
"no","no","yes","no","multiple_lines",385,158,"fiber_optic","yes","yes","yes","yes","yes","no","two_year","yes","credit_card",72,117.15
"no","no","no","no","single_line",255,142,"digital","no","no","yes","yes","yes","no","month_to_month","no","electronic_check",10,54.25
"yes","yes","yes","no","multiple_lines",366,108,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","electronic_check",27,75.5
"no","no","yes","no","multiple_lines",272,96,"digital","no","yes","yes","yes","no","no","two_year","no","bank_draft",67,86.15
"no","no","yes","no","single_line",454,100,"digital","yes","no","yes","no","yes","no","one_year","yes","credit_card",47,66.05
"yes","no","no","no","single_line",359,108,"digital","no","yes","no","no","yes","yes","month_to_month","yes","credit_card",2,49.05
"no","yes","no","no","single_line",289,73,"fiber_optic","yes","yes","no","yes","yes","no","two_year","yes","bank_draft",67,92.45
"yes","no","no","no","single_line",260,53,"fiber_optic","no","yes","no","no","yes","no","month_to_month","yes","bank_draft",2,87.15
"no","yes","no","no","multiple_lines",279,141,"fiber_optic","no","yes","no","no","no","no","one_year","yes","bank_draft",51,79.6
"yes","no","no","no","single_line",445,103,"digital","no","no","yes","yes","yes","no","month_to_month","yes","electronic_check",4,74.4
"yes","no","no","no","single_line",347,153,"fiber_optic","no","yes","no","no","yes","no","month_to_month","yes","electronic_check",3,95.1
"no","yes","yes","no","single_line",314,133,"digital","yes","yes","yes","yes","no","yes","one_year","yes","bank_draft",63,84
"yes","no","yes","yes","single_line",180,96,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","bank_draft",2,89.55
"yes","no","no","no","single_line",292,59,"fiber_optic","no","no","no","no","no","yes","month_to_month","no","electronic_check",2,80.75
"yes","yes","no","no","single_line",397,84,"fiber_optic","no","no","no","no","yes","no","month_to_month","yes","electronic_check",1,71.15
"no","no","yes","no","multiple_lines",380,150,"fiber_optic","no","no","no","no","no","no","month_to_month","yes","electronic_check",2,84.05
"no","no","no","no","multiple_lines",417,124,"digital","no","yes","yes","yes","no","no","two_year","no","bank_draft",72,86.6
"no","no","yes","no","multiple_lines",429,107,"fiber_optic","yes","no","yes","no","yes","no","month_to_month","yes","electronic_check",65,104.25
"yes","no","no","no","multiple_lines",396,101,"fiber_optic","no","no","no","no","no","no","month_to_month","yes","electronic_check",2,75.55
"no","yes","yes","yes","single_line",362,116,"fiber_optic","no","no","yes","no","no","yes","two_year","yes","electronic_check",24,96.55
"yes","no","no","no","single_line",311,83,"fiber_optic","no","no","no","no","yes","yes","month_to_month","no","electronic_check",1,70.4
"no","no","no","no","multiple_lines",428,124,"digital","no","no","no","no","yes","no","month_to_month","yes","electronic_check",15,49
"no","no","no","no","single_line",284,120,"digital","no","no","yes","no","yes","yes","one_year","yes","electronic_check",3,69.95
"no","no","yes","yes","single_line",351,95,"fiber_optic","no","no","no","no","no","no","month_to_month","yes","electronic_check",22,80.15
"no","no","yes","yes","single_line",337,86,"digital","no","yes","no","yes","yes","yes","month_to_month","no","mailed_check",9,54.8
"no","no","no","no","multiple_lines",455,161,"fiber_optic","no","yes","yes","no","no","no","two_year","no","electronic_check",53,105.55
"no","no","yes","no","multiple_lines",374,127,"fiber_optic","yes","yes","no","yes","yes","no","month_to_month","yes","credit_card",19,88.8
"yes","no","yes","yes","single_line",306,56,"fiber_optic","no","yes","no","yes","yes","yes","month_to_month","yes","electronic_check",7,89.75
"no","no","no","no","single_line",312,71,"fiber_optic","no","yes","no","no","no","no","month_to_month","yes","mailed_check",6,85.95
"no","no","yes","no","multiple_lines",389,149,"fiber_optic","no","yes","yes","no","no","yes","month_to_month","yes","electronic_check",60,106.15
"no","no","yes","no","single_line",383,90,"digital","no","yes","no","no","no","no","month_to_month","yes","bank_draft",8,49.55
"no","no","yes","yes","single_line",336,75,"digital","no","no","no","no","no","no","month_to_month","no","mailed_check",6,45.5
"yes","no","no","no","single_line",431,76,"fiber_optic","no","no","no","no","yes","no","month_to_month","no","electronic_check",1,80.5
"no","no","yes","no","multiple_lines",318,94,"fiber_optic","yes","yes","yes","yes","no","yes","two_year","no","mailed_check",62,113.95
"no","yes","no","no","single_line",260,136,"digital","no","no","no","no","no","yes","month_to_month","yes","electronic_check",2,44.3
"yes","no","no","no","multiple_lines",440,158,"fiber_optic","no","yes","no","no","yes","yes","month_to_month","yes","mailed_check",1,80.2
"no","yes","yes","no","multiple_lines",470,124,"fiber_optic","yes","no","yes","no","yes","no","one_year","yes","bank_draft",42,105.2
"no","no","yes","yes","single_line",319,81,"digital","yes","no","no","yes","no","no","two_year","no","bank_draft",45,54.65
"no","no","yes","yes","single_line",372,126,"fiber_optic","yes","no","no","yes","no","no","one_year","no","electronic_check",15,101.9
"yes","no","no","no","single_line",450,69,"digital","no","no","no","no","yes","no","month_to_month","no","mailed_check",1,44.4
"no","no","no","yes","multiple_lines",430,152,"digital","no","yes","no","no","yes","no","one_year","yes","mailed_check",44,77.55
"no","no","no","no","multiple_lines",399,155,"fiber_optic","no","yes","yes","no","no","no","two_year","yes","bank_draft",48,108.1
"no","no","no","yes","single_line",198,115,"fiber_optic","yes","no","yes","yes","yes","yes","month_to_month","no","bank_draft",9,93
"no","no","no","no","multiple_lines",454,144,"digital","no","no","yes","no","yes","yes","one_year","no","mailed_check",41,65
"no","no","yes","yes","multiple_lines",280,97,"fiber_optic","yes","no","yes","no","no","yes","two_year","yes","credit_card",65,104.3
"yes","no","no","no","multiple_lines",374,118,"fiber_optic","yes","yes","yes","no","yes","yes","month_to_month","yes","credit_card",67,102.95
"no","no","yes","yes","multiple_lines",361,159,"fiber_optic","yes","yes","yes","yes","yes","no","two_year","yes","bank_draft",72,116.85
"yes","no","no","no","single_line",367,80,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","electronic_check",3,79.4
"no","no","yes","yes","multiple_lines",454,101,"digital","yes","yes","no","yes","no","no","two_year","yes","bank_draft",65,82.5
"no","yes","no","no","multiple_lines",347,150,"fiber_optic","no","no","yes","no","no","no","one_year","yes","bank_draft",45,102.15
"no","no","no","no","multiple_lines",389,110,"fiber_optic","no","no","no","yes","yes","yes","month_to_month","no","electronic_check",13,100.75
"no","no","yes","no","multiple_lines",401,95,"fiber_optic","no","yes","yes","no","no","no","one_year","yes","electronic_check",46,94.65
"no","no","yes","yes","multiple_lines",459,146,"digital","no","yes","yes","no","no","no","one_year","no","bank_draft",41,68.5
"yes","yes","no","no","single_line",342,91,"fiber_optic","no","no","no","no","no","yes","month_to_month","yes","electronic_check",15,79.4
"no","no","no","no","single_line",274,73,"digital","no","no","no","no","no","yes","month_to_month","yes","electronic_check",8,66.25
"yes","no","no","yes","single_line",453,87,"digital","yes","no","no","no","yes","yes","month_to_month","no","electronic_check",4,49.35
"yes","no","no","yes","multiple_lines",355,124,"digital","no","no","yes","no","yes","yes","one_year","yes","mailed_check",17,55.85
"no","no","no","no","multiple_lines",349,152,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","electronic_check",23,93.5
"no","no","yes","yes","multiple_lines",403,135,"fiber_optic","yes","no","no","no","yes","no","month_to_month","no","electronic_check",32,89.6
"yes","yes","yes","no","multiple_lines",452,107,"digital","no","yes","yes","no","yes","yes","two_year","yes","bank_draft",66,80.55
"yes","no","yes","yes","multiple_lines",437,84,"fiber_optic","no","no","no","no","no","no","month_to_month","no","electronic_check",49,84.5
"no","no","no","no","multiple_lines",371,114,"fiber_optic","yes","yes","no","no","no","no","one_year","yes","electronic_check",38,104.85
"yes","no","no","no","single_line",350,68,"fiber_optic","no","no","no","no","yes","no","month_to_month","yes","electronic_check",1,69.6
"no","yes","no","no","multiple_lines",287,124,"fiber_optic","yes","yes","no","no","no","yes","month_to_month","yes","electronic_check",50,83.4
"no","no","yes","no","multiple_lines",402,95,"fiber_optic","yes","yes","yes","no","yes","yes","one_year","yes","electronic_check",56,93.15
"yes","no","no","no","single_line",435,109,"digital","no","no","no","yes","yes","no","month_to_month","yes","electronic_check",1,52.2
"yes","yes","yes","no","multiple_lines",495,107,"fiber_optic","no","yes","no","no","yes","yes","month_to_month","yes","credit_card",8,80.65
"no","no","no","no","multiple_lines",320,100,"fiber_optic","no","no","no","no","no","no","month_to_month","no","electronic_check",3,76.1
"no","yes","no","no","single_line",326,110,"fiber_optic","no","no","yes","no","no","no","one_year","yes","bank_draft",51,94
"yes","yes","no","no","single_line",342,29,"fiber_optic","no","no","yes","no","yes","no","month_to_month","yes","credit_card",5,75.55
"yes","yes","yes","no","multiple_lines",478,143,"fiber_optic","yes","yes","yes","yes","yes","no","month_to_month","no","electronic_check",48,117.45
"no","no","no","no","multiple_lines",420,144,"digital","yes","yes","yes","no","no","no","two_year","no","mailed_check",70,84.7
"no","no","no","no","multiple_lines",354,140,"digital","no","no","no","no","no","yes","month_to_month","no","mailed_check",9,59.9
"no","no","yes","no","single_line",426,100,"fiber_optic","yes","no","no","yes","no","yes","one_year","yes","credit_card",27,101.9
"no","no","no","no","multiple_lines",386,94,"digital","yes","yes","yes","yes","no","no","two_year","yes","electronic_check",68,88.15
"yes","no","no","no","single_line",323,97,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","electronic_check",1,69.55
"no","no","no","yes","multiple_lines",337,144,"digital","no","no","no","no","no","no","month_to_month","no","mailed_check",35,50.15
"yes","yes","no","no","single_line",339,18,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","electronic_check",26,91.25
"no","no","yes","yes","multiple_lines",416,120,"fiber_optic","no","yes","yes","yes","no","yes","two_year","yes","credit_card",65,110.8
"no","no","yes","no","multiple_lines",346,150,"fiber_optic","no","yes","no","no","no","no","one_year","yes","electronic_check",47,78.9
"yes","no","no","no","multiple_lines",390,124,"fiber_optic","no","yes","yes","yes","no","no","month_to_month","no","electronic_check",13,89.4
"no","no","yes","yes","single_line",260,83,"digital","yes","yes","no","no","no","yes","one_year","no","mailed_check",36,53.65
"no","no","yes","no","multiple_lines",354,89,"digital","yes","no","yes","yes","yes","no","one_year","no","credit_card",37,68.1
"no","no","yes","no","multiple_lines",358,124,"fiber_optic","yes","no","yes","no","no","no","one_year","yes","electronic_check",50,103.95
"no","no","yes","no","multiple_lines",254,157,"fiber_optic","yes","yes","yes","yes","yes","no","two_year","no","credit_card",72,114.45
"no","yes","yes","no","multiple_lines",318,117,"fiber_optic","no","no","no","no","yes","no","month_to_month","yes","electronic_check",29,84.3
"yes","no","no","yes","multiple_lines",358,115,"fiber_optic","no","no","no","no","yes","no","month_to_month","no","credit_card",49,75.2
"no","yes","no","yes","multiple_lines",308,144,"fiber_optic","no","yes","yes","no","no","yes","month_to_month","yes","bank_draft",33,105.35
"no","no","yes","yes","multiple_lines",301,61,"fiber_optic","yes","no","yes","no","no","no","two_year","yes","bank_draft",72,105.55
"yes","no","no","no","multiple_lines",402,147,"fiber_optic","no","no","yes","no","no","yes","month_to_month","yes","electronic_check",26,98.35
"no","no","yes","no","multiple_lines",269,88,"fiber_optic","no","no","no","no","no","no","month_to_month","yes","bank_draft",56,85.6
"yes","no","yes","yes","single_line",385,88,"digital","no","no","no","no","no","yes","one_year","no","credit_card",12,53.65
"no","no","yes","no","single_line",322,122,"digital","no","yes","yes","no","no","no","month_to_month","yes","mailed_check",8,54.75
"yes","no","yes","yes","single_line",433,34,"fiber_optic","no","no","yes","no","yes","yes","month_to_month","yes","electronic_check",8,94.2
"no","no","no","no","single_line",305,107,"digital","yes","no","yes","yes","yes","yes","one_year","yes","electronic_check",21,60.25
"no","no","no","no","multiple_lines",308,72,"fiber_optic","no","yes","no","no","yes","no","month_to_month","yes","bank_draft",7,78.55
"yes","no","yes","no","multiple_lines",460,63,"fiber_optic","no","yes","yes","no","yes","yes","month_to_month","yes","electronic_check",6,105.3
"yes","no","yes","yes","multiple_lines",466,99,"fiber_optic","yes","yes","no","no","yes","no","month_to_month","yes","electronic_check",30,94.4
"yes","no","no","no","multiple_lines",344,99,"fiber_optic","no","no","no","yes","yes","yes","month_to_month","yes","electronic_check",18,90.1
"no","no","yes","no","single_line",276,43,"digital","yes","yes","yes","no","no","no","one_year","yes","mailed_check",44,61.5
"no","no","yes","yes","single_line",182,105,"fiber_optic","no","no","yes","no","no","no","month_to_month","yes","mailed_check",34,84.05
"no","no","no","no","single_line",257,97,"fiber_optic","yes","yes","yes","yes","no","yes","two_year","no","credit_card",63,109.2
"no","no","no","no","single_line",459,120,"fiber_optic","no","yes","yes","no","yes","yes","month_to_month","yes","electronic_check",31,101.4
